Date,Date,vixPrice,vixChange%,niftyPrice,niftyChange %,n5day,n10day,n20day,n1day,n60day,nc5day,nc10day,nc20day,nc1day,nc60day,v5day,v10day,v20day,v1day,v60day,vc5day,vc10day,vc20day,vc1day,vc60day,DayOfWeek,month,Tuesday,Wednesday,Friday,Monday,Thursday,Saturday,Sunday,March,April,May,June,July,August,September,October,November,December,January,February,n1day%,n5day%,n10day%,n20day%,n60day%,cluster,Month
2008-06-05,2008-06-05,30.32,1.68,4676.95,1.99,4835.3,5025.45,5135.5,4647.0,4864.25,-1.69,-1.8,-0.18,-2.61,-1.79,28.08,34.86,25.06,36.93,38.08,-13.94,25.13,0.6,0.68,6.49,Thursday,June,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.6403746031067217,3.3857535359582713,7.451437368370413,9.804466586129854,4.004746683201663,2,6
2008-06-06,2008-06-06,30.32,0.0,4627.8,-1.05,4870.1,4946.55,5081.7,4761.2,4921.4,0.72,-1.57,-1.05,2.46,1.17,26.68,34.03,25.94,30.99,35.51,-4.99,-2.38,3.51,-16.08,-6.75,Friday,June,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.8825791952979736,5.235749168071226,6.887722027745364,9.808116167509391,6.344267254418934,2,6
2008-06-09,2008-06-09,32.43,6.96,4500.95,-2.74,4739.6,4875.05,4982.6,4709.65,4771.6,-2.68,-1.45,-1.95,-1.08,-3.04,29.49,33.01,27.53,31.4,35.2,10.53,-3.0,6.13,1.32,-0.87,Monday,June,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.636798898010416,5.302213977049302,8.311578666725921,10.701074217665173,6.0131749963896635,2,6
2008-06-10,2008-06-10,30.23,-6.78,4449.8,-1.14,4715.9,4859.8,5012.65,4747.05,4800.4,-0.5,-0.31,0.6,0.79,0.6,28.49,28.59,31.5,38.24,32.58,-3.39,-13.39,14.42,21.78,-7.44,Tuesday,June,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.68007550901164,5.980044046923445,9.21389725380916,12.648883095869465,7.879005798013382,2,6
2008-06-11,2008-06-11,29.64,-1.95,4523.6,1.66,4585.6,4918.35,4957.8,4733.0,4865.9,-2.76,1.2,-1.09,-0.3,1.36,29.82,32.63,33.43,30.52,32.69,4.67,14.13,6.13,-20.19,0.34,Wednesday,June,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.629056503669635,1.3705897957379076,8.726456804315147,9.598549827570956,7.566982049694916,2,6
2008-06-12,2008-06-12,29.23,-1.38,4539.35,0.35,4676.95,4835.3,5011.75,4777.8,4872.0,1.99,-1.69,1.09,0.95,0.13,30.32,28.08,29.22,33.83,32.36,1.68,-13.94,-12.59,10.85,-1.01,Thursday,June,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.25295471818652,3.0312709969488902,6.5196558978708365,10.406776300571659,7.32814169429543,2,6
2008-06-13,2008-06-13,30.7,5.03,4517.1,-0.49,4627.8,4870.1,5115.25,4879.65,4623.6,-1.05,0.72,2.07,2.13,-5.1,30.32,26.68,29.02,30.23,34.15,0.0,-4.99,-0.68,-10.64,5.53,Friday,June,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.026167231188134,2.4506873879258775,7.814748400522459,13.241902990856957,2.3577073786278806,2,6
2008-06-16,2008-06-16,29.02,-5.47,4572.5,1.23,4500.95,4739.6,5157.7,4887.3,4745.8,-2.74,-2.68,0.83,0.16,2.64,32.43,29.49,23.25,27.94,31.11,6.96,10.53,-19.88,-7.58,-8.9,Monday,June,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.884636413340628,-1.5647895024603646,3.6544559868780837,12.798250410060138,3.7900492072170624,2,6
2008-06-17,2008-06-17,28.96,-0.21,4653.0,1.76,4449.8,4715.9,5104.95,4958.4,4503.1,-1.14,-0.5,-1.02,1.45,-5.11,30.23,28.49,24.99,27.1,33.43,-6.78,-3.39,7.48,-3.01,7.46,Tuesday,June,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.563507414571236,-4.3670750053728735,1.3518160326670885,9.713088330109603,-3.2215774768966177,2,6
2008-06-18,2008-06-18,31.82,9.88,4582.4,-1.52,4523.6,4585.6,5117.65,5037.0,4533.0,1.66,-2.76,0.25,1.59,0.66,29.64,29.82,27.86,27.1,37.84,-1.95,4.67,11.48,0.0,13.19,Wednesday,June,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.92056564245811,-1.2831703910614367,0.06983240223465276,11.680560405027935,-1.078037709497199,2,6
